,State #,Town #,District,Illiterate ,Literate,Educational level,Educational level 1,Educational level 2,Educational level 3,Educational level 4,Educational level 5,Educational level 6,Educational level 7,Educational level 8,Educational level 9
13630,33,636738,Neyveli (TS) (CT),16499,89232,2324,6318,12673,12409,13479,15274,292,7739,18507,217
13659,33,803323,Avadi (M),63117,282879,9037,20456,42419,44162,50081,47658,1684,14411,51647,1324
13688,33,803328,Ambattur (M),81067,385138,13750,25867,51824,54499,61478,60126,2492,16524,97186,1392
13717,33,803333,Tiruvottiyur (M),52300,197146,12966,15761,36725,34127,37255,25539,834,6865,25781,1293
13746,33,803337,Madavaram (M),23093,96012,4455,6672,15003,15154,17726,14099,498,3628,18525,252
13775,33,803339,Chennai (M Corp.),870456,3776276,188247,261675,577317,578833,616861,560668,14286,82331,879695,16363
13804,33,803345,Tambaram (M),29750,145037,9658,10033,20363,20493,20078,23681,680,4566,35148,337
13833,33,803351,Alandur (M),24287,140143,6323,7720,16092,16495,17994,24340,718,4061,45971,429
13862,33,803356,Pallavaram (M+OG),40051,193933,7165,13206,27020,27029,27796,33248,864,6622,50503,480
13891,33,803365,Kancheepuram (M),33681,130703,5187,11542,28272,23589,20263,18177,519,4300,18625,229
13920,33,803398,Vellore (M Corp.),42461,143342,7029,13118,32245,27882,22994,19810,496,3728,15592,448
13949,33,803406,Ambur (M),27410,87198,4493,8113,21751,15222,15494,11065,288,2612,7813,347
13978,33,803422,Tiruvannamalai (M),31413,113865,4105,10173,23667,18728,18569,17445,396,3945,16502,335
14007,33,803463,Salem (M Corp.),195953,633314,37416,63712,135721,100164,101519,79467,2039,18080,93297,1899
14036,33,803542,Erode (M Corp.),31287,125814,4803,11686,26978,19576,18897,20194,268,3592,19615,205
14065,33,803589,Dindigul (M),37957,169370,5499,15813,37730,30267,26467,22907,519,6551,23327,290
14094,33,803631,Tiruchirappalli (M Corp.),145928,701459,25274,57460,125055,120183,103508,117268,2363,25649,123329,1370
14123,33,803650,Cuddalore (M),36605,137031,6723,11509,26390,22686,21857,19646,409,5471,21572,768
14152,33,803674,Nagapattinam (M),21874,81031,3220,8612,20252,14927,11575,10208,170,3462,8469,136
14181,33,803697,Kumbakonam (M),23530,116626,6854,10156,24482,19746,17806,16837,206,3525,16862,152
14210,33,803707,Thanjavur (M),37579,185364,9431,14209,32594,31148,28825,27608,321,7024,33652,552
14239,33,803718,Pudukkottai (M),20916,96714,4492,8175,17108,16306,16488,14601,281,3669,15104,490
14268,33,803733,Karaikkudi (M),19759,86955,7211,7770,17783,14688,12134,12028,214,3242,11778,107
14297,33,803754,Madurai (M Corp.),183761,834104,31201,76540,174355,147771,124933,119859,2173,25167,129719,2386
14326,33,803787,Rajapalayam (M),28861,101581,4460,10651,25589,18581,13361,12187,595,4890,11024,243
14355,33,803821,Thoothukkudi (M Corp.),38398,199432,2427,19883,43057,36980,27972,28000,674,8294,31795,350
14384,33,803860,Tirunelveli (M Corp.),87661,385976,13414,37600,83109,66837,52225,55829,1694,14466,59397,1405
14413,33,803927,Nagercoil (M),30488,194361,7198,20302,37217,26604,27242,30246,932,9885,34342,393
14442,33,803951,Hosur (M),27228,89593,3920,8534,14383,11374,16035,13185,684,5756,15530,192
14471,33,803984,Coimbatore (M Corp.),184623,866098,18596,72798,161510,131276,144120,133458,4631,29327,168145,2237
14500,33,803989,Kurichi (M),24138,99529,7605,9088,19368,15894,16803,12783,608,3904,13160,316
14529,33,804026,Tiruppur (M Corp.),97001,347351,21572,36202,87176,61064,55297,45337,752,5947,33358,646
